"name","slug","denomination","category","country","city","address","pastor_name","website","phone","email","description","mission_statement","founding_year","member_count","ministry_count","is_church_os_client","is_verified","accepts_donations","donation_url"
"Kawaramachi Cathedral","kawaramachi-cathedral-kyoto","Catholic","catholic","Japan","Kyoto","Kawaramachi-dori Sanjo-agaru, Nakagyo-ku, Kyoto, Japan","Fr. Paul Akito Akasofuji","[https://kyoto.catholic.jp](https://kyoto.catholic.jp)","+81 75 231 4785","info@kyoto.catholic.jp","The main cathedral of the Diocese of Kyoto, known for its modern architecture and international congregation.","To be a sign of unity in the historic city of Kyoto.","1967","1500","8","false","true","true",null
"Yamate Catholic Church","yamate-catholic-yokohama","Catholic","catholic","Japan","Yokohama","44 Yamate-cho, Naka-ku, Yokohama, Kanagawa, Japan","Fr. Michael Higashiyama","[https://www.yamatecatholic.jp](https://www.yamatecatholic.jp)","+81 45 641 0735","office@yamatecatholic.jp","A historic cathedral located on the Yamate bluff, serving the Yokohama community since the 19th century.","Witnessing to Christ in the port city of Yokohama.","1933","2500","10","false","true","true",null
"Tetori Catholic Church","tetori-catholic-kumamoto","Catholic","catholic","Japan","Kumamoto","3-5-5 Kamitori-cho, Chuo-ku, Kumamoto, Japan","Fr. Joseph Sato","[https://tetori-church.jp](https://tetori-church.jp)","+81 96 352 3030","info@tetori-church.jp","A central parish in Kumamoto known for its resilient community and outreach following regional earthquakes.","Faith and recovery in the heart of Kumamoto.","1920","800","5","false","true","true",null
"Kainan Catholic Church","kainan-catholic-okinawa","Catholic","catholic","Japan","Okinawa","1-4-10 Izumizaki, Naha, Okinawa, Japan","Fr. Francis","[http://kainan-church.jp](http://kainan-church.jp)","+81 98 868 3697","info@kainan-church.jp","The primary Catholic cathedral in Naha, serving a diverse local and military population.","Peace in the Pacific through Christ.","1955","1200","6","false","true","true",null
"Daimyoumachi Cathedral","daimyoumachi-cathedral-fukuoka","Catholic","catholic","Japan","Fukuoka","2-7-7 Daimyo, Chuo-ku, Fukuoka, Japan","Bishop of Fukuoka","[http://www.fukuoka.catholic.jp](http://www.fukuoka.catholic.jp)","+81 92 741 3687","info@fukuoka.catholic.jp","The seat of the Bishop of Fukuoka, located in the vibrant Daimyo district.","A beacon of hope for Kyushu.","1896","2000","9","false","true","true",null
"Kita1jo Catholic Church","kita1jo-cathedral-sapporo","Catholic","catholic","Japan","Sapporo","Kita 1-jo Higashi 6-chome, Chuo-ku, Sapporo, Hokkaido, Japan","Fr. Peter","[https://kita1jo.jp](https://kita1jo.jp)","+81 11 231 4181","info@kita1jo.jp","The cathedral of the Diocese of Sapporo, known for its beautiful stained glass and northern heritage.","Faith in the snow country.","1881","1500","7","false","true","true",null
"Takasaki Catholic Church","takasaki-catholic-takasaki","Catholic","catholic","Japan","Takasaki","128 Tamachi, Takasaki, Gunma, Japan","Fr. Thomas","[http://takasaki-catholic.jp](http://takasaki-catholic.jp)","+81 27 322 3844","info@takasaki-catholic.jp","A historic parish in Gunma prefecture serving a growing community of local and migrant workers.","Service and faith in Gunma.","1930","600","4","false","true","true",null
"Tomobe Catholic Church","tomobe-catholic-tomobe","Catholic","catholic","Japan","Tomobe","Tomobe, Ibaraki, Japan","Fr. Mark","[http://tomobe-catholic.jp](http://tomobe-catholic.jp)","+81 29 000 0000","info@tomobe.jp","A local parish serving the Ibaraki region with a focus on family liturgy.","One family in Christ.","1955","300","3","false","true","true",null
"Kikuna Catholic Church","kikuna-catholic-yokohama","Catholic","catholic","Japan","Yokohama","2-1-5 Kikuna, Kohoku-ku, Yokohama, Japan","Fr. Andrew","[http://kikuna-catholic.jp](http://kikuna-catholic.jp)","+81 45 421 1618","info@kikuna-catholic.jp","A vibrant parish in Northern Yokohama known for its youth and music ministries.","Growth in the Spirit.","1952","1000","6","false","true","true",null
"Nanao Catholic Church","nanao-catholic-nanao","Catholic","catholic","Japan","Nanao","Nanao, Ishikawa, Japan","Fr. John","[http://nanao-catholic.jp](http://nanao-catholic.jp)","+81 76 752 0925","info@nanao.jp","A coastal parish in Ishikawa prefecture with deep roots in local traditions.","Faith by the sea.","1925","200","2","false","true","true",null
