"name","slug","denomination","category","country","city","address","pastor_name","website","phone","email","description","mission_statement","founding_year","member_count","ministry_count","is_church_os_client","is_verified","accepts_donations","donation_url"
"St. Matthias' Cathedral","st-matthias-cathedral-maebashi","Anglican","anglican","Japan","Maebashi","2-chome-4-6 Otemachi, Maebashi, Gunma 371-0026, Japan","Bishop of Kitakanto","[http://www.nskk.org/kitakanto](http://www.nskk.org/kitakanto)","+81 27 221 3464","office@kitakanto.nskk.org","The diocesan cathedral of the Anglican Church in Japan for the Kitakanto region, serving Gunma and surrounding prefectures. It is a center for liturgical tradition and community outreach.","To be a beacon of Christ's light in the Kitakanto region.","1891","500","6","false","true","true",null
"St. Matthew's Cathedral","st-matthews-cathedral-nagoya","Anglican","anglican","Japan","Nagoya","2-chome-1-1 Akatsukacho, Higashi Ward, Nagoya, Aichi 461-0026, Japan","Bishop of Chubu","[http://www.nskk.org/chubu](http://www.nskk.org/chubu)","+81 52 931 3541","office@chubu.nskk.org","The cathedral church for the Anglican Diocese of Chubu, known for its beautiful brick architecture and historic pipe organ. It has long supported education and social welfare in Nagoya.","Faith, Hope, and Charity in the heart of Chubu.","1898","600","8","false","true","true",null
"St. Agnes' Cathedral","st-agnes-cathedral-kyoto","Anglican","anglican","Japan","Kyoto","601-1 Sannocho, Kamigyo Ward, Kyoto, 602-8011, Japan","Bishop of Kyoto","[http://www.nskk.org/kyoto](http://www.nskk.org/kyoto)","+81 75 432 5001","office@kyoto.nskk.org","A historic red-brick cathedral located near the Kyoto Imperial Palace, serving as the seat of the Anglican Bishop of Kyoto. It is a registered Tangible Cultural Property of Japan.","Witnessing to the Gospel in the ancient capital.","1898","450","7","false","true","true",null
"Kawaguchi Christ Church Cathedral","kawaguchi-christ-church-cathedral-osaka","Anglican","anglican","Japan","Osaka","1-3-8 Kawaguchi, Nishi Ward, Osaka, 550-0021, Japan","Bishop of Osaka","[http://www.nskk.org/osaka](http://www.nskk.org/osaka)","+81 6 6581 5061","office@osaka.nskk.org","The Anglican cathedral of Osaka, located in the historic Kawaguchi foreign settlement area. It features a stunning Gothic Revival interior and a deep missionary heritage.","Light in the Nishi Ward.","1870","700","9","false","true","true",null
"St. Paul's Cathedral","st-pauls-cathedral-fukuoka","Anglican","anglican","Japan","Fukuoka","2-chome-9-22 Jigyo, Chuo Ward, Fukuoka, 810-0065, Japan","Bishop of Kyushu","[http://www.nskk.org/kyushu](http://www.nskk.org/kyushu)","+81 92 771 2818","office@kyushu.nskk.org","The central cathedral for the Anglican Diocese of Kyushu, providing a spiritual home and community services in the city of Fukuoka. It is known for its international atmosphere.","Serving Kyushu with the love of Christ.","1920","500","6","false","true","true",null
"Cathedral of St. Paul and St. Peter","cathedral-of-st-paul-and-st-peter-naha","Anglican","anglican","Japan","Naha","1-chome-2-1 Mihara, Naha, Okinawa 902-0063, Japan","Bishop of Okinawa","[http://www.nskk.org/okinawa](http://www.nskk.org/okinawa)","+81 98 887 5441","office@okinawa.nskk.org","The diocesan cathedral of Okinawa, established to serve the local and international Anglican community following the mid-20th century missions. It is active in peace and reconciliation ministries.","A house of prayer for peace in Okinawa.","1960","400","5","false","true","true",null
"St. Paul's Church Yutenji","st-pauls-church-yutenji-tokyo","Anglican","anglican","Japan","Tokyo","3-chome-33-3 Nakameguro, Meguro City, Tokyo 153-0061, Japan","Rev. Paul","[https://nskk-st-pauls.org](https://nskk-st-pauls.org)","+81 3 3712 1818","info@stpauls-yutenji.jp","A notable establishment within the Tokyo Diocese of the Anglican Church, representing traditional Anglican roots in a quiet residential neighborhood. It is known for its solemn and spacious interior.","To be a serene place for worship and community.","1952","300","4","false","true","true",null
"Moiwashita Church of Christ","moiwashita-church-of-christ-sapporo","Non-Denominational","non-denominational","Japan","Sapporo","Moiwashita, Minami Ward, Sapporo, Hokkaido, Japan","Pastor Kenji","[https://moiwashita.org](https://moiwashita.org)","+81 11 000 0000","info@moiwashita.org","An evangelical congregation in Sapporo focused on Bible-based teaching and close community fellowship. It serves as a spiritual hub in the Minami Ward.","Living for Christ in Sapporo.","1978","150","3","false","true","true",null
"Asahigaoka Church of Christ","asahigaoka-church-of-christ-sendai","Non-Denominational","non-denominational","Japan","Sendai","Asahigaoka, Aoba Ward, Sendai, Miyagi, Japan","Pastor Sato","[https://asahigaoka-coc.jp](https://asahigaoka-coc.jp)","+81 22 000 0000","info@asahigaoka-coc.jp","A dedicated Bible-focused church in Sendai with a strong emphasis on youth and campus outreach. It is active in the Tohoku region's recovery ministries.","The Word for Sendai.","1985","200","4","false","true","true",null
"Arakawa Church of Christ","arakawa-church-of-christ-tokyo","Non-Denominational","non-denominational","Japan","Tokyo","7-chome-4-1 Machiya, Arakawa City, Tokyo 116-0001, Japan","Pastor Suzuki","[https://arakawa-coc.com](https://arakawa-coc.com)","+81 3 0000 0000","info@arakawa-coc.com","A local congregation in the Arakawa district of Tokyo, providing regular Bible studies and community support for families and seniors.","Grace in Arakawa.","1960","180","3","false","true","true",null
